Category,Keyword
Location,Western Europe
Location,Eastern Europe
Location,Southern Europe
Location,Northern Europe
Location,Scandinavia
Location,Nordic countries
Location,Mediterranean coast
Location,The Balkans
Location,Central Europe
Location,Baltic States
Location,French Riviera
Location,Amalfi Coast
Location,Alpine
Location,Iberian Peninsula
Location,Benelux
Location,British Isles
Feature,Romantic
Feature,Historical
Feature,Luxury
Feature,Budget
Feature,Children
Feature,Scenic
Feature,Coastal
Feature,Mountainous
Feature,Urban
Feature,Countryside
Feature,Adventure
Feature,Cultural
Feature,Popular
Feature,Remote
Feature,Sunny
Feature,Snow
Feature,Chill
Feature,Comfort
Feature,Peaceful
Feature,Relax
Feature,Traditional
Feature,Modern
Feature,Green
Activity,Ski
Activity,Hiking
Activity,Wine
Activity,Cycling
Activity,Museum
Activity,Food
Activity,Beach
Activity,Photography
Activity,Shopping
Activity,Sailing
Activity,Spa
Activity,History
Activity,Club
Activity,Festival
Activity,Castle
Activity,Cruise
Activity,Camp
Attraction,Castle
Attraction,Museum
Attraction,Art
Attraction,Church
Attraction,Market
Attraction,Palace
Attraction,Botanical Garden
Attraction,Lake
Attraction,Cathedral
Attraction,Opera House
Attraction,Ancient
Attraction,Bridge
Attraction,Old Town
Attraction,Harbor
Attraction,Monastery
Attraction,Island
Attraction,Waterfall
Attraction,Canyon
Attraction,Fjord
