Category,Keyword
Location,Western Europe
Location,Eastern Europe
Location,Southern Europe
Location,Northern Europe
Location,Scandinavia
Location,Nordic countries
Location,Mediterranean coast
Location,The Balkans
Location,Central Europe
Location,Baltic States
Location,French Riviera
Location,Amalfi Coast
Location,Alpine region
Location,Iberian Peninsula
Location,Benelux
Location,Danube Region
Location,British Isles
Location,Celtic Nations
Location,Riviera Maya
Location,Danish Coast
Feature,Romantic
Feature,Historical
Feature,Luxury
Feature,Budget
Feature,Family-friendly
Feature,Scenic
Feature,Coastal
Feature,Mountainous
Feature,Urban
Feature,Countryside
Feature,Off-the-beaten-path
Feature,Cultural
Feature,Popular
Feature,Remote
Feature,Sunny
Feature,Snowy
Feature,Cozy
Feature,Traditional
Feature,Modern
Feature,Green
Activity,Skiing
Activity,Hiking
Activity,Wine tasting
Activity,Cycling
Activity,Museum visit
Activity,City tour
Activity,Food tasting
Activity,Beach lounging
Activity,Photography
Activity,Shopping
Activity,Sailing
Activity,Spa retreat
Activity,Historical walking tour
Activity,Snowboarding
Activity,Clubbing
Activity,Cultural festivals
Activity,Food markets
Activity,Castle hopping
Activity,River cruise
Activity,Camping
Attraction,Castle
Attraction,Museum
Attraction,Art Gallery
Attraction,Church
Attraction,Market
Attraction,Palace
Attraction,Botanical Garden
Attraction,Lake
Attraction,Cathedral
Attraction,Opera House
Attraction,Ancient Ruins
Attraction,Vineyard
Attraction,Bridge
Attraction,Old Town
Attraction,Harbor
Attraction,Monastery
Attraction,Island
Attraction,Waterfall
Attraction,Canyon
Attraction,Fjord
